acceleration	throttle lag
stainLife	floor mark life
startOffset	gap at the caster
stickDeadZone	stick dead zone
stickExpo	stick expo
stoneAO	occlusion
stoneDesat	desaturate
stoneGrade	grade
stoneRough	roughness
stoneRoughFloor	roughness floor
stripeDepth	chevron depth
stripeSharp	chevron sharpness
stripes	chevrons / metre
strobeRate	strobe (flashes/s)
sunAzimuth	key azimuth
sunElevation	key elevation
sunIntensity	key intensity
sunSpec	sun highlight
sway	wobble (rad)
swaySpeed	wobble speed
sweep	radar sweep
sweepSpeed	sweep speed
targetHeight	target height
tempCore	core (K)
tempEdge	edge (K)
temperature	temperature
texAmount	scan amount
texScale	scan tile (m)
tickLength	tick length
tickSpin	tick spin
tickWidth	tick duty
ticks	boundary ticks
timeScale	time scale
tipGlyph	tip rosette
tipGlyphSize	rosette radius
tipSpin	rosette spin
tracerLength	tracer length (m)
tracerSize	tracer width (m)
tracerSpeed	tracer speed (m/s)
trailRate	shed / s each
trailSpan	emitters seed over (m)
treadDust	tread dust (particles/s)
treadDustSize	tread dust size
turbulence	turbulence
turnRate	heading lag
vaporBurst	strike: gout
vaporBurstDrag	strike: drag
vaporBurstLife	strike: it lasts
vaporBurstSize	strike: puff size (m)
vaporBurstThrow	strike: thrown at (m/s)
vaporCount	in the trail
vaporCurl	curl (m/s)
vaporCurlScale	curl scale
vaporCurlSpeed	curl speed
vaporDrag	drag
vaporErode	eaten by noise
vaporErodeOut	... more as it dies
vaporFlow	noise streams back at
vaporGrow	swells by, x
vaporInnerGlow	lit while young
vaporLead	shed ahead by (m)
vaporLife	one puff lasts
vaporLit	lit side vs shadow side
vaporNoiseScale	noise scale
vaporNoiseSpeed	noise speed
vaporOpacity	opacity
vaporRadius	born within (m)
vaporRise	climbs at (m/s)
vaporSheath	sheath the crystal (fraction)
vaporSheathBack	sheath born over (m)
vaporSheathGlow	sheath lit
vaporSheathRadius	sheath radius, x
vaporSize	puff size (m)
vaporSizeVariance	size spread
vaporSoftFade	soft fade (m)
vaporSpin	turns (turns/s)
vaporSpread	spreads at (m/s)
vaporStretch	drawn out per m/s
vaporStretchMax	drawn out at most, x
vignette	vignette
volleyInterval	between them (s)
volleyRounds	fireballs per body
wakeBreath	wake light breath
wakeBreathSpeed	breath speed
wakeLightBack	wake light sits back (m)
wakeLightIntensity	wake light
wakeLightRadius	wake light radius
wallBody	clear ice body
wallCaustic	caustic light
wallCracks	hairline cracks
wallDelay	stands at (s)
wallFlow	caustic climb (m/s)
wallFootGlow	lit at the foot
wallFrost	frosted
wallFrostScale	frost scale
wallHeight	height (m)
wallOpacity	opacity
wallRefraction	refraction
wallRimGlow	rim light
wallRimPower	fresnel
wallRiseTime	rises over (s)
wallStriaScale	striation scale
wallTopFade	thins from (of height)
warpBow	bow wave
warpBowRadius	bow radius, x
warpBowWidth	bow width
warpBurst	strike: ring
warpBurstLife	it lasts
warpBurstSize	proxy grows by
warpBurstSpeed	it crosses at (m/s)
warpBurstWidth	its depth
warpChurn	how hard it boils
warpLens	the glass ball
warpLensPower	ball falloff
warpLensSize	ball radius, x
warpRing	rings shed
warpRingRate	rings per second
warpRingWidth	ring width
warpRipples	bands inside it
warpScale	churn scale
warpSize	proxy width (m)
warpSpeed	churn speed
warpStrength	strength
warpWave	wave packets
warpWaveRate	waves/second
warpWaveWidth	packet depth
weave	wander (m)
weaveRise	vertical wander
weaveWaves	long swing (rad/m)
weaveWaves2	short swing (rad/m)
wingspan	wingspan (m)
wobble	idle wobble (rad)
wobbleSpeed	wobble speed
zoneRadius	barrier radius (m)
zoomSpeed	zoom speed
